"teststat","gene","pFdr"
3.0790937221718,"MSN",0.788707120796552
0.695129895302832,"MTHFD1",0.942336635064212
0.0331451103861393,"MTHFR",0.987853172657534
1.68641223522501,"MTM1",0.861695105344109
0.205592903719238,"MTR",0.978943756281902
1.93463313926368,"MMUT",0.838748898921898
0.0744900320803167,"MVD",0.98529231221214
0.107036432758842,"MVK",0.978943756281902
0.00067125281824741,"MX1",0.996418935838512
1.66312707098697,"MYB",0.861695105344109
1.59445381434166,"MYBL2",0.867300509341516
8.16760020731333,"MYC",0.362387575500301
0.089948147528007,"MYD88",0.978971318352127
2.47755471864741,"MYH9",0.821655919899476
3.15527247021727,"MYO6",0.78440499570353
1.01130048017007,"PPP1R12A",0.93137694545857
0.192474420238662,"ATF1",0.978943756281902
0.0161913542455063,"NACA",0.992643710107499
0.6188836396412,"NAGA",0.947254995302584
4.43233940292713,"NAGLU",0.673663611167472
0.429824014982148,"NAIP",0.967839468428807
0.665901454380475,"NARS1",0.947254995302584
0.604376697994645,"ATF4",0.947254995302584
2.04603885653987,"NBN",0.835118341863474
0.900058674839527,"NCAM1",0.93137694545857
0.151033445926308,"NCBP1",0.978943756281902
0.243808489519889,"NCF2",0.978943756281902
0.777405579452848,"NCF4",0.93816655781328
0.011352559999445,"NCK1",0.993029479704196
0.251318451142314,"ACLY",0.978943756281902
0.0597209616199606,"ATIC",0.985371713603004
0.207379046333503,"ATM",0.978943756281902
0.323088227131592,"NEDD4",0.978943756281902
1.29982306623774,"NEFH",0.903109155976697
3.75770295950341,"NEO1",0.746621538762675
0.461440166610733,"NF1",0.966383115487852
0.439344184810012,"NF2",0.967785516805665
