base_gene_src	base_id_src	base_gene_dest	base_id_dest	pathway
1869	ENTREZID	898	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
7272	ENTREZID	8379	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1031	ENTREZID	1019	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1031	ENTREZID	595	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1032	ENTREZID	1019	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1032	ENTREZID	595	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1029	ENTREZID	1019	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1029	ENTREZID	595	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
4087	ENTREZID	4609	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
4089	ENTREZID	4609	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1874	ENTREZID	4609	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
7027	ENTREZID	4609	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
5933	ENTREZID	4609	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
4609	ENTREZID	7709	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
25	ENTREZID	5925	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1017	ENTREZID	1869	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
890	ENTREZID	1869	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
3065	ENTREZID	5925	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1019	ENTREZID	5925	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
595	ENTREZID	5925	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
898	ENTREZID	5925	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1017	ENTREZID	5925	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
5925	ENTREZID	7027	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
5925	ENTREZID	1869	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1019	ENTREZID	5933	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
595	ENTREZID	5933	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
5933	ENTREZID	7027	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
5933	ENTREZID	1874	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1026	ENTREZID	26271	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
6500	ENTREZID	898	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
6500	ENTREZID	1017	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
6502	ENTREZID	898	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
6502	ENTREZID	1017	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
991	ENTREZID	51343	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
991	ENTREZID	10393	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
10393	ENTREZID	10393	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
22800	ENTREZID	83593	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
83593	ENTREZID	10114	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
83593	ENTREZID	5499	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
5499	ENTREZID	5925	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
4609	ENTREZID	1029	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
10114	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
22800	ENTREZID	1029	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
83593	ENTREZID	4193	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
